117;AVIGNON //Noir;NANTES  //Noir;VALENCE //Rouge;PAU //Rouge;SAINT NAZAIRE //Vert;BOURG/BRES. //Vert;BAYONNE //Noir;DIJON //Noir;BEZIERS //Vert;SAINT-ETIENNE //Orange;COLMAR //Orange;ALBERTVILLE //Vert
118;BEZIERS //Vert;POITIERS //Rouge;MULHOUSE //Orange;CLERMONT FERRAND //Vert;STRASBOURG //Rouge;NEVERS //Vert;;;;;;
119;BOURGOIN JALLIEU //Vert;VILLEFRANCHE SUR SAONE //Vert;VIENNE //Noir;SAINT-ETIENNE //Orange;BOURG/BRES. //Vert;VALENCE //Rouge;;;;;;
120;GRENOBLE //Rouge;LILLE //Rouge;CRETEIL //Rouge;BETHUNE //Vert;BREST //Orange;METZ //Rouge;LE HAVRE //Noir;BOULOGNE SUR MER //Vert;MEAUX //Orange;AMIENS //Noir;SAINT-ETIENNE //Orange;VALENCIENNES //Vert
121;NANTES  //Noir;RENNES //Noir;MARSEILLE //Rouge;NICE //Rouge;NIORT //Vert;SAINT MALO //Vert;LA ROCHELLE  //Noir;NIMES //Rouge;STRASBOURG //Rouge;LILLE //Rouge;MONTPELLIER //Noir;LORIENT //Rouge
122;MONTPELLIER //Noir;ANNECY //Noir;GRENOBLE //Rouge;CHAMBERY //Rouge;THONON LES BAINS //Vert;ALBERTVILLE //Vert;VALENCE //Rouge;NIMES //Rouge;AIX //Noir;NICE //Rouge;BAYONNE //Noir;LA ROCHELLE  //Noir
123;AUXERRE //Vert;QUIMPER //Vert;MELUN //Noir;REIMS //Noir;EVRY //Rouge;ORLEANS //Rouge;SOISSONS //Vert;COMPIEGNE //Vert;SENLIS //Vert;ARRAS //Vert;LAON //Vert;SAINT-QUENTIN //Vert
124;GRENOBLE //Rouge;BEZIERS //Vert;AGEN //Noir;PERPIGNAN //Rouge;NARBONNE //Orange;NIMES //Rouge;TOULOUSE //Rouge;MONTAUBAN //Rouge;PAU //Rouge;BAYONNE //Noir;MONTPELLIER //Noir;VALENCE //Rouge
125;EVRY //Rouge;ORLEANS //Rouge;NANCY //Vert;BETHUNE //Vert;CHARTRES //Orange;LAON //Vert;;;;;;
126;SAINTES //Vert;DAX //Orange;POITIERS //Rouge;BAYONNE //Noir;PERIGUEUX //Rouge;BERGERAC //Vert;AGEN //Noir;PAU //Rouge;;;;
127;POITIERS //Rouge;REIMS //Noir;RENNES //Noir;ORLEANS //Rouge;CHARTRES //Orange;TROYES //Vert;;;;;;
128;AVIGNON //Noir;NIMES //Rouge;METZ //Rouge;POITIERS //Rouge;CLERMONT FERRAND //Vert;NANCY //Vert;PERPIGNAN //Rouge;ORLEANS //Rouge;VALENCE //Rouge;SAINT-ETIENNE //Orange;TROYES //Vert;AUXERRE //Vert
129;TOULOUSE //Rouge;MONTAUBAN //Rouge;AGEN //Noir;LA ROCHELLE  //Noir;MONT-DE-MARSAN //Vert;ALBI //Orange;PAU //Rouge;;;;;
130;VIENNE //Noir;BOURGOIN JALLIEU //Vert;NANCY //Vert;VILLEFRANCHE SUR SAONE //Vert;SAINT-ETIENNE //Orange;MOULINS //Vert;MACON //Vert;BOURG/BRES. //Vert;VALENCE //Rouge;;;
131;LYON //Noir;NANTES  //Noir;MARSEILLE //Rouge;BOBIGNY //Rouge;MEAUX //Orange;TOULON //Orange;CRETEIL //Rouge;LA ROCHELLE  //Noir;REIMS //Noir;ROUEN //Noir;MONTPELLIER //Noir;TOULOUSE //Rouge
132;SAINT MALO //Vert;REIMS //Noir;TOURS //Noir;CHARTRES //Orange;EVREUX //Vert;LE MANS //Rouge;STRASBOURG //Rouge;;;;;
133;AMIENS //Noir;BEAUVAIS //Vert;ROUEN //Noir;SENLIS //Vert;METZ //Rouge;CHARLEVILLE-MEZIERES //Vert;MELUN //Noir;ANGERS //Noir;EVREUX //Vert;CHARTRES //Orange;MEAUX //Orange;MULHOUSE //Orange
134;ALBI //Orange;DAX //Orange;AUCH //Vert;MONT-DE-MARSAN //Vert;RODEZ //Vert;BAYONNE //Noir;;;;;;
135;EVREUX //Vert;LE MANS //Rouge;BETHUNE //Vert;BEAUVAIS //Vert;COUTANCES //Vert;QUIMPER //Vert;ARRAS //Vert;NIORT //Vert;;;;
136;GRASSE //Rouge;LA ROCHELLE  //Noir;BOULOGNE SUR MER //Vert;VALENCE //Rouge;ORLEANS //Rouge;BREST //Orange;AMIENS //Noir;EVREUX //Vert;SAINT NAZAIRE //Vert;NARBONNE //Orange;LA ROCHE S/ YON //Vert;
137;LYON //Noir;GRENOBLE //Rouge;VALENCE //Rouge;CHAMBERY //Rouge;SAINT-ETIENNE //Orange;BOURGOIN JALLIEU //Vert;;;;;;
138;CRETEIL //Rouge;PARIS //Noir;NANTERRE //Noir;BOBIGNY //Rouge;MEAUX //Orange;SAINT MALO //Vert;PONTOISE //Rouge;EVRY //Rouge;;;;
139;PONTOISE //Rouge;MELUN //Noir;CRETEIL //Rouge;AMIENS //Noir;TROYES //Vert;LAON //Vert;COMPIEGNE //Vert;SOISSONS //Vert;CHARTRES //Orange;REIMS //Noir;;
140;COLMAR //Orange;NANCY //Vert;BELFORT //Orange;ROUEN //Noir;MONTBELLIARD //Vert;LA ROCHELLE  //Noir;;;;;;
141;AVIGNON //Noir;LILLE //Rouge;NIMES //Rouge;REIMS //Noir;CHARTRES //Orange;MEAUX //Orange;;;;;;
142;NIORT //Vert;LA ROCHELLE  //Noir;LA ROCHE S/ YON //Vert;LES SABLES D'OLONNE //Vert;TOURS //Noir;POITIERS //Rouge;BLOIS //Orange;;;;;
143;LA ROCHELLE  //Noir;TOURS //Noir;ORLEANS //Rouge;LA ROCHE S/ YON //Vert;GRASSE //Rouge;DRAGUIGNAN //Vert;;;;;;
144;NANTES  //Noir;LILLE //Rouge;LA ROCHELLE  //Noir;CRETEIL //Rouge;MEAUX //Orange;LA ROCHE S/ YON //Vert;;;;;;
145;POITIERS //Rouge;LA ROCHELLE  //Noir;MULHOUSE //Orange;CHAMBERY //Rouge;VALENCE //Rouge;EVREUX //Vert;;;;;;
146;REIMS //Noir;NANTES  //Noir;CHARTRES //Orange;NANCY //Vert;CHAMBERY //Rouge;QUIMPER //Vert;LE PUY EN VELAY //Vert;;;;;
147;BAYONNE //Noir;AVIGNON //Noir;MONTAUBAN //Rouge;PAU //Rouge;NARBONNE //Orange;MONT-DE-MARSAN //Vert;;;;;;
148;BASTIA //Orange;FONTAINEBLEAU //Rouge;PONTOISE //Rouge;AJACCIO //Rouge;SAINT MALO //Vert;BOBIGNY //Rouge;;;;;;
149;LYON //Noir;VIENNE //Noir;SAINT-ETIENNE //Orange;BOURGOIN JALLIEU //Vert;VILLEFRANCHE SUR SAONE //Vert;VALENCE //Rouge;BOURG/BRES. //Vert;;;;;
