Identifiant,Ville obtenue,Rang du voeu satisfait,Voeu 1,Voeu 2,Voeu 3,Voeu 4,Voeu 5,Voeu 6
284,GRENOBLE,1,GRENOBLE,ANGERS,NANCY,DUNKERQUE,BOURGES,CLERMONT-FERRAND
50,LA ROCHE-SUR-YON,2,ANGERS,LA ROCHE-SUR-YON,RENNES,LE MANS,LES SABLES-D'OLONNE,CLERMONT-FERRAND
296,LA ROCHE-SUR-YON,1,LA ROCHE-SUR-YON,AVIGNON,LA ROCHELLE,QUIMPER,BOULOGNE-SUR-MER,SAINT-NAZAIRE
152,LA ROCHELLE,1,LA ROCHELLE,BAYONNE,TOULOUSE,POITIERS,PAU,NIORT
7,LAON,1,LAON,TROYES,SENLIS,BOURGES,POITIERS,REIMS
113,LAON,2,CHALONS-EN-CHAMPAGNE,LAON,SOISSONS,NANCY,SAINT-QUENTIN,CHARLEVILLE-MEZIERES
125,LAVAL,2,ANGERS,LAVAL,RENNES,BREST,PAU,NANCY
164,LE HAVRE,1,LE HAVRE,ANGERS,CAEN,LE MANS,BOULOGNE-SUR-MER,BEAUVAIS
180,LE HAVRE,2,LILLE,LE HAVRE,STRASBOURG,PARIS,NANCY,METZ
256,LE HAVRE,1,LE HAVRE,TOURS,CAEN,BETHUNE,BOULOGNE-SUR-MER,BEAUVAIS
189,LE MANS,3,TOURS,ORLEANS,LE MANS,LAVAL,SAINT-NAZAIRE,LES SABLES-D'OLONNE
236,LE MANS,2,ANGERS,LE MANS,RENNES,LA ROCHE-SUR-YON,SAINT-NAZAIRE,LES SABLES-D'OLONNE
246,LE MANS,2,ANGERS,LE MANS,TOURS,POITIERS,LES SABLES-D'OLONNE,SAINT-NAZAIRE
12,LE PUY-EN-VELAY,5,VILLEFRANCHE-SUR-SAONE,BOURG-EN-BRESSE,CLERMONT-FERRAND,VIENNE,LE PUY-EN-VELAY,SAINT-ETIENNE
292,LES SABLES-D'OLONNE,5,RENNES,ANGERS,BREST,SAINT-NAZAIRE,LES SABLES-D'OLONNE,TROYES
143,LILLE,1,LILLE,TOURS,CAEN,BREST,METZ,SAINT-NAZAIRE
